id,name,category_id,part_type,engine_model,category_spec
19332,Прокладка воздушного фильтра TY290/295/ прокладка впускного коллектора КМ385 (паронит),2,filters,,Запчасти для дизелей
19333,Прокладка впускного коллектора TY290/295,2,parts,,Запчасти для дизелей
19334,Прокладка (вторая прокладка заднего гнезда коренного подшипника) TY290/295,2,parts,,Запчасти для дизелей
19335,Прокладка ГБЦ TY290/295 (паронит) D=96 мм,2,parts,,Запчасти для дизелей
19336,Прокладка ГБЦ TY295 (паронит) D=100 мм.,2,parts,,Запчасти для дизелей
19337,Прокладка гидравлического насоса TY290/295 (аналог кода 479),2,pumps,,Запчасти для дизелей
19338,Прокладка гнезда гидравлического насоса TY290/295,2,pumps,,Запчасти для дизелей
19339,Прокладка горловины заливки масла TY290/295,2,parts,,Запчасти для дизелей
19340,Прокладка заднего гнезда коренного подшипника TY290/295,2,parts,,Запчасти для дизелей
19341,Прокладка задней крышки ГБЦ TY290/295,2,parts,,Запчасти для дизелей
19342,Прокладка коллектора водяного насоса TY290/295,2,pumps,,Запчасти для дизелей
19343,"Прокладка коллектора глушителя TY290/295, КМ385BT",2,parts,,Запчасти для дизелей
19344,Прокладка корпуса водяного насоса (помпы) TY290/295,2,pumps,,Запчасти для дизелей
19345,Прокладка корпуса термостата TY290/295,2,parts,,Запчасти для дизелей
19346,Прокладка крышки блока шестерен TY290/295,2,parts,,Запчасти для дизелей
19347,Прокладка крышки водяного насоса (помпы) TY290/295,2,pumps,,Запчасти для дизелей
19348,Прокладка крышки головки блока цилиндров (клапанной крышки) TY290/295,2,parts,,Запчасти для дизелей
19349,"Прокладка крышки масляного фильтра TY290/295, КМ385ВТ",2,filters,,Запчасти для дизелей
19350,Прокладка крышки поддона картера TY290/295,2,parts,,Запчасти для дизелей
19351,Прокладка крышки термостата TY290/295,2,parts,,Запчасти для дизелей
19352,Прокладка правой крышки двигателя TY290/295,2,engines,,Запчасти для дизелей
19353,Прокладка топливного насоса TY/JD/КМ (ТНВД),2,pumps,,Запчасти для дизелей
19354,Пружина клапана внутренняя TY290/TY295,2,parts,,Запчасти для дизелей
