title,url,brand,category,stock,article,price,image_url,description
Вал передний приводный Z-24 Foton 354/404,https://zip-agro.ru/val-perednij-privodnyj-z-24-foton-354404,Foton,Запчасти,В наличии,FT304.31F.117,4565.50,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b2d0b0d0bb-d0bfd0b5d180d0b5d0b4d0bdd0b8d0b9-d0bfd180d0b8d0b2d0bed0b4d0bdd18bd0b9-z-24-foton-354-404_60e41935cedf2-170x170.jpeg,"Ступица переднего колеса Z-24 Foton 354/404
Высота ступицы общая (мм) — 135
Длина вала до проточки (.."
"Вал привода переднего моста L-600 мм, Z-19/15 Foton 244, Jinma 244/264",https://zip-agro.ru/val-privoda-perednego-mosta-l-600-mm-z-1915-foton-244-jinma-244264,Foton,Запчасти,В наличии,TE254.424A.1-02,2766.90,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/1/d0b2d0b0d0bb-d0bfd180d0b8d0b2d0bed0b4d0b0-d0bfd0b5d180d0b5d0b4d0bdd0b5d0b3d0be-d0bcd0bed181d182d0b0-l-600mm-z-19-15-foton-244-jinma-244-264_60e419a1f2de3-170x170.jpeg,"Вал привода переднего моста L-600 mm Z-19/15 Foton 244, Jinma 244/264
                              .."
"Вал привода переднего моста выходной L-143 мм, Z-19/28 Foton 244, Jinma 244/264",https://zip-agro.ru/val-privoda-perednego-mosta-vyhodnoj-l-143-mm-z-1928-foton-244-jinma-244264,Foton,Запчасти,В наличии,FT254.42.102,1569.75,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/4/d0b2d0b0d0bb-d0bfd180d0b8d0b2d0bed0b4d0b0-d0bfd0b5d180d0b5d0b4d0bdd0b5d0b3d0be-d0bcd0bed181d182d0b0-d0b2d18bd185d0bed0b4d0bdd0bed0b9-l-1_60e419a7064d9-170x170.jpeg,"Вал привода переднего моста выходной L-143 mm Z-19/28 Foton 244, Jinma 244/264
                     .."
"Вал приводный Z-8 L-640 мм Foton 244, ДТЗ 244, Jinma 244/264",https://zip-agro.ru/val-privodnyj-z-8-l-640-mm-foton-244-dtz-244-jinma-244264,Foton,Запчасти,В наличии,FT250.37B.212,7110.45,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0b2d0b0d0bb-d0bfd180d0b8d0b2d0bed0b4d0bdd18bd0b9-z-8-l-640mm-foton-244-d0b4d182d0b7-244-jinma-244-264_60e419abbf5ad-170x170.jpeg,"Вал приводной L-640 mm Z-8 Foton 244, ДТЗ 244, Jinma 244/264
Длина вала (мм) — 640
Количество шлицов.."
Вал промежуточной шестерни раздаточной коробки Foton 240/244,https://zip-agro.ru/val-promegutochnoj-shesterni-razdatochnoj-korobki-foton-240244,Foton,Запчасти,В наличии,FT254.42.116,1116.65,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/5/d0b2d0b0d0bb-d0bfd180d0bed0bcd0b5d0b6d183d182d0bed187d0bdd0bed0b9-d188d0b5d181d182d0b5d180d0bdd0b8-d180d0b0d0b7d0b4d0b0d182d0bed187_60e419b14727e-170x170.jpeg,"Вал промежуточной шестерни раздаточной коробки Foton 240/244
Длина вала (мм) — 85
Диаметр (мм) — 20
.."
Вал промежуточный Foton 240,https://zip-agro.ru/val-promegutochnyj-foton-240,Foton,Запчасти,В наличии,TE250.361F-12,1660.60,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/9/d0b2d0b0d0bb-d0bfd180d0bed0bcd0b5d0b6d183d182d0bed187d0bdd18bd0b9-foton-240_60e419b6a9d7d-170x170.jpeg,"Вал промежуточный Foton 240
Длина вала (мм) — 212
Диаметр (мм) — 25 / 30 / 25
Диаметр по шлицам (мм).."
Вал промежуточный механизма ВОМ Foton 250/254,https://zip-agro.ru/val-promegutochnyj-mehanizma-vom-foton-250254,Foton,Запчасти,В наличии,TE250.361F.3,3735.20,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/2/d0b2d0b0d0bb-d0bfd180d0bed0bcd0b5d0b6d183d182d0bed187d0bdd18bd0b9-d0bcd0b5d185d0b0d0bdd0b8d0b7d0bcd0b0-d0b2d0bed0bc-foton-250-254_60e419bbc768e-170x170.jpeg,"Вал промежуточный механизма ВОМ Foton 250/254
Длина вала (мм) — 820
Количество шлицов (шт.) — 12 / 1.."
"Вал сцепления L-532 мм, Z-15/15 Foton 354/404",https://zip-agro.ru/val-stsepleniya-l-532-mm-z-1515-foton-354404,Foton,Запчасти,В наличии,FT400.37B.201,2017.10,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/2/d0b2d0b0d0bb-d181d186d0b5d0bfd0bbd0b5d0bdd0b8d18f-l-532mm-z-15-15-foton-354-404_60e419c088a00-170x170.jpeg,"Вал сцепления Foton 354/404
Длина общая (мм) — 532
Количество шлицов (шт.) — 15
Диаметр по шлицам (м.."
"Вал сцепления Z-12/15 L-408 мм Foton 244, ДТЗ 244, Jinma 244/264",https://zip-agro.ru/val-stsepleniya-z-1215-l-408-mm-foton-244-dtz-244-jinma-244264,Foton,Запчасти,В наличии,FT250.36.107,1963.05,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/7/d0b2d0b0d0bb-d181d186d0b5d0bfd0bbd0b5d0bdd0b8d18f-z-12-15-l-408mm-foton-244-d0b4d182d0b7-244-jinma-244-264_60e419c5651a2-170x170.jpeg,"Вал сцепления L-480 mm Z-12/15 Foton 244, ДТЗ 244, Jinma 244/264
                                   .."
"Вал шестерни Z-18/18 L-235 мм Foton 244, ДТЗ 244, Jinma 244/264",https://zip-agro.ru/val-shesterni-z-1818-l-235-mm-foton-244-dtz-244-jinma-244264,Foton,Запчасти,В наличии,FT254.31F.119,1911.30,https://zip-agro.ru/image/cache/catalog/zapshasti/tata/0/d0b2d0b0d0bb-d188d0b5d181d182d0b5d180d0bdd0b8-z-18-18-l-235mm-foton-244-d0b4d182d0b7-244-jinma-244-264_60e419ca5200a-170x170.jpeg,"Вал шестерни L-235 mm Z-18/18 Foton 244, ДТЗ 244, Jinma 244/264
                                    .."
